Raw(bits),,Unsigned,Signed(two’s complement)
0000_2,,0_10,0_10
0001_2,,1_10,1_10
0010_2,,2_10,2_10
0011_2,,3_10,3_10
0100_2,,4_10,4_10
0101_2,,5_10,5_10
0110_2,,6_10,6_10
1000_2,,8_10,-(2³-0)=-8_10
1001_2,,9_10,-(2³-1)=-7_10
1010_2,,10_10,-(2³-2)=-6_10
1101_2,,13_10,-(2³-5)=-3_10
